ciudad_origen,ciudad_destino,fecha_salida,fecha_llegada,duracion,tipo_tren,clase,precio,tarifa,fecha_captura,mes_salida,dia_semana,hora_salida,hora_captura,dias_anticipacion,temporada,duracion_minutos
MADRID,BARCELONA,2019-04-18 05:50:00,2019-04-18 08:55:00,3.08,AVE,Preferente,68.95,Promo,2019-04-11 21:49:46,4,Jueves,5,21,6,Primavera,185.0
MADRID,BARCELONA,2019-04-18 13:25:00,2019-04-18 16:24:00,2.98,AVE,Turista,107.7,Flexible,2019-04-11 21:49:46,4,Jueves,13,21,6,Primavera,179.0
MADRID,BARCELONA,2019-04-18 06:30:00,2019-04-18 09:20:00,2.83,AVE,Turista,75.4,Promo,2019-04-11 21:49:46,4,Jueves,6,21,6,Primavera,170.0
MADRID,BARCELONA,2019-04-18 07:00:00,2019-04-18 09:30:00,2.5,AVE,Turista Plus,106.75,Promo,2019-04-11 21:49:46,4,Jueves,7,21,6,Primavera,150.0
MADRID,BARCELONA,2019-04-18 07:30:00,2019-04-18 10:40:00,3.17,AVE,Turista Plus,90.5,Promo,2019-04-11 21:49:46,4,Jueves,7,21,6,Primavera,190.0
MADRID,BARCELONA,2019-04-18 19:00:00,2019-04-18 21:30:00,2.5,AVE,Preferente,115.65,Promo,2019-04-11 21:49:46,4,Jueves,19,21,6,Primavera,150.0
MADRID,BARCELONA,2019-04-18 08:00:00,2019-04-18 10:30:00,2.5,AVE,Turista,88.95,Promo,2019-04-11 21:49:46,4,Jueves,8,21,6,Primavera,150.0
MADRID,BARCELONA,2019-04-18 08:30:00,2019-04-18 11:15:00,2.75,AVE,Turista,107.7,Flexible,2019-04-11 21:49:46,4,Jueves,8,21,6,Primavera,165.0
MADRID,BARCELONA,2019-04-18 19:30:00,2019-04-18 22:40:00,3.17,AVE,Turista,85.1,Promo,2019-04-11 21:49:46,4,Jueves,19,21,6,Primavera,190.0
MADRID,BARCELONA,2019-04-18 09:30:00,2019-04-18 12:34:00,3.07,AVE,Turista,107.7,Flexible,2019-04-11 21:49:46,4,Jueves,9,21,6,Primavera,184.0
MADRID,BARCELONA,2019-04-18 16:30:00,2019-04-18 19:15:00,2.75,AVE,Turista Plus,102.15,Promo,2019-04-11 21:49:46,4,Jueves,16,21,6,Primavera,165.0
MADRID,BARCELONA,2019-04-18 10:30:00,2019-04-18 13:15:00,2.75,AVE,Turista Plus,102.15,Promo,2019-04-11 21:49:46,4,Jueves,10,21,6,Primavera,165.0
MADRID,BARCELONA,2019-04-18 11:30:00,2019-04-18 14:40:00,3.17,AVE,Turista Plus,102.15,Promo,2019-04-11 21:49:46,4,Jueves,11,21,6,Primavera,190.0
MADRID,BARCELONA,2019-04-18 18:30:00,2019-04-18 21:20:00,2.83,AVE,Turista Plus,90.5,Promo,2019-04-11 21:49:46,4,Jueves,18,21,6,Primavera,170.0
MADRID,BARCELONA,2019-04-18 12:30:00,2019-04-18 15:30:00,3.0,AVE,Turista,107.7,Flexible,2019-04-11 21:49:46,4,Jueves,12,21,6,Primavera,180.0
MADRID,BARCELONA,2019-04-18 14:00:00,2019-04-18 16:30:00,2.5,AVE,Turista,100.4,Promo,2019-04-11 21:49:46,4,Jueves,14,21,6,Primavera,150.0
MADRID,BARCELONA,2019-04-18 14:30:00,2019-04-18 17:21:00,2.85,AVE,Turista,107.7,Flexible,2019-04-11 21:49:46,4,Jueves,14,21,6,Primavera,171.0
MADRID,BARCELONA,2019-04-18 17:30:00,2019-04-18 20:40:00,3.17,AVE,Turista,75.4,Promo,2019-04-11 21:49:46,4,Jueves,17,21,6,Primavera,190.0
MADRID,BARCELONA,2019-04-18 20:30:00,2019-04-18 23:40:00,3.17,AVE,Turista,85.1,Promo,2019-04-11 21:49:46,4,Jueves,20,21,6,Primavera,190.0
MADRID,BARCELONA,2019-05-18 20:30:00,2019-05-18 23:40:00,3.17,AVE,Turista Plus,69.8,Promo,2019-04-11 21:49:48,5,Sábado,20,21,36,Primavera,190.0
MADRID,BARCELONA,2019-05-18 06:20:00,2019-05-18 09:29:00,3.15,AVE,Turista,66.75,Promo,2019-04-11 21:49:48,5,Sábado,6,21,36,Primavera,189.0
MADRID,BARCELONA,2019-05-18 07:30:00,2019-05-18 10:40:00,3.17,AVE,Turista,85.1,Promo,2019-04-11 21:49:48,5,Sábado,7,21,36,Primavera,190.0
MADRID,BARCELONA,2019-05-18 09:30:00,2019-05-18 12:34:00,3.07,AVE,Turista,85.1,Promo,2019-04-11 21:49:48,5,Sábado,9,21,36,Primavera,184.0
MADRID,BARCELONA,2019-05-18 08:30:00,2019-05-18 11:15:00,2.75,AVE,Turista,85.1,Promo,2019-04-11 21:49:48,5,Sábado,8,21,36,Primavera,165.0
MADRID,BARCELONA,2019-05-18 13:25:00,2019-05-18 16:24:00,2.98,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,13,21,36,Primavera,179.0
MADRID,BARCELONA,2019-05-18 10:30:00,2019-05-18 13:15:00,2.75,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,10,21,36,Primavera,165.0
MADRID,BARCELONA,2019-05-18 17:30:00,2019-05-18 20:40:00,3.17,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,17,21,36,Primavera,190.0
MADRID,BARCELONA,2019-05-18 11:30:00,2019-05-18 14:40:00,3.17,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,11,21,36,Primavera,190.0
MADRID,BARCELONA,2019-05-18 18:30:00,2019-05-18 21:20:00,2.83,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,18,21,36,Primavera,170.0
MADRID,BARCELONA,2019-05-18 12:30:00,2019-05-18 15:30:00,3.0,AVE,Turista,75.4,Promo,2019-04-11 21:49:48,5,Sábado,12,21,36,Primavera,180.0
