id,company,origin,destination,departure,arrival,duration,vehicle_type,vehicle_class,price,fare,seats,meta,insert_date
1,renfe,MADRID,BARCELONA,2019-04-18 05:50:00,2019-04-18 08:55:00,3.08,AVE,Preferente,68.95,Promo,,{},2019-04-11 21:49:46
2,renfe,MADRID,BARCELONA,2019-04-18 13:25:00,2019-04-18 16:24:00,2.98,AVE-TGV,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
3,renfe,MADRID,BARCELONA,2019-04-18 06:30:00,2019-04-18 09:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:46
4,renfe,MADRID,BARCELONA,2019-04-18 15:30:00,2019-04-18 18:40:00,3.17,AVE,Preferente,,Promo,,{},2019-04-11 21:49:46
5,renfe,MADRID,BARCELONA,2019-04-18 07:00:00,2019-04-18 09:30:00,2.5,AVE,Turista Plus,106.75,Promo,,{},2019-04-11 21:49:46
6,renfe,MADRID,BARCELONA,2019-04-18 06:30:00,2019-04-18 09:20:00,2.83,AVE,Turista,75.4,Promo,,{},2019-04-11 21:49:46
7,renfe,MADRID,BARCELONA,2019-04-18 07:30:00,2019-04-18 10:40:00,3.17,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:49:46
8,renfe,MADRID,BARCELONA,2019-04-18 19:00:00,2019-04-18 21:30:00,2.5,AVE,Preferente,115.65,Promo,,{},2019-04-11 21:49:46
9,renfe,MADRID,BARCELONA,2019-04-18 08:00:00,2019-04-18 10:30:00,2.5,AVE,Turista,88.95,Promo,,{},2019-04-11 21:49:46
10,renfe,MADRID,BARCELONA,2019-04-18 08:00:00,2019-04-18 10:30:00,2.5,AVE,Turista,88.95,Promo,,{},2019-04-11 21:49:46
11,renfe,MADRID,BARCELONA,2019-04-18 08:30:00,2019-04-18 11:15:00,2.75,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
12,renfe,MADRID,BARCELONA,2019-04-18 19:30:00,2019-04-18 22:40:00,3.17,AVE,Turista,85.1,Promo,,{},2019-04-11 21:49:46
13,renfe,MADRID,BARCELONA,2019-04-18 09:30:00,2019-04-18 12:34:00,3.07,AVE,Turista,107.7,Flexible,,{},2019-04-11 21:49:46
14,renfe,MADRID,BARCELONA,2019-04-18 16:30:00,2019-04-18 19:15:00,2.75,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
15,renfe,MADRID,BARCELONA,2019-04-18 10:30:00,2019-04-18 13:15:00,2.75,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
16,renfe,MADRID,BARCELONA,2019-04-18 11:30:00,2019-04-18 14:40:00,3.17,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
17,renfe,MADRID,BARCELONA,2019-04-18 11:30:00,2019-04-18 14:40:00,3.17,AVE,Turista Plus,102.15,Promo,,{},2019-04-11 21:49:46
18,renfe,MADRID,BARCELONA,2019-04-18 18:30:00,2019-04-18 21:20:00,2.83,AVE,Turista Plus,90.5,Promo,,{},2019-04-11 21:49:46
